Class;DesignRole;Approaches;Method;LOC;CC;Efferent;NOP;Smell;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteNaoInscrito.AlterarItemDAE;TRANSACAO; R, D ;process;147;61;13;0;Método Longo
br.gov.se.sefaz.sae.ne.EntidadeConvenio;ENTITY; D ;setNrTipoConvenio;4;2;2;1;Muitos Desvios
br.gov.se.sefaz.sae.ng.GerenciadorBase;TEST; R, D ;obterDataVencimentoICMS;47;25;10;2;Muitos Desvios
br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;TRANSACAO; R, D ;formatarTela;91;40;4;4;Muitos Parâmetros
br.gov.se.sefaz.sae.ti.SAEIntegracaoSIT;[CONSTANTESEMISSAODAE]; R, D ;gerarDAE;4;1;4;6;Muitos Parâmetros
br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;TRANSACAO; R, D ;obtemDAEInconsistentePorChequeDevolvido;19;2;8;5;Muitos Parâmetros
br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;GERENCIADORBASE; R, D ;registrarAlteracaoDataOnLine;9;1;10;5;Muitos Parâmetros
br.gov.se.sefaz.sae.ne.EntidadeIsencaoVeiculo;ENTITY; D ;setDtInicioIsencao;4;3;2;1;Muitos Desvios
br.gov.se.sefaz.sae.consultas.to.documento.ConsultaAvancadaSAE;CONSULTAAVANCADATRANSBASE; R, D ;montaFiltroDocumento;96;24;7;1;Muitos Desvios
br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;TRANSACAO; R, D ;obtemItensDAEChequeDevolvido;9;1;5;5;Muitos Parâmetros
br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.RegistrarConfirmacaoRepasseFinanceiro;TRANSACAO; R, D ;process;76;14;21;0;Alto Acoplamento Efferent
br.gov.se.sefaz.sae.emissaoDAE.to.reemissao.GerarItemDAEITCMD;TRANSACAO; R, D ;montaDocEntrada;24;4;4;4;Muitos Parâmetros
br.gov.se.sefaz.sae.tb.correcao.CorrigirDadosGNRE;BACKGROUNDPROCESS; R, D ;verificaCamposAlterados;58;16;7;6;Muitos Parâmetros
br.gov.se.sefaz.sae.ng.GerenciadorOperacional;GERENCIADORBASE; R, D ;alterarDadosConcBancaria;93;75;9;5;Muitos Desvios
